source,contract_id,as_of_date,as_of_ts,snapshot_ts,observation_method,implied_probability,yes_price,no_price,volume,liquidity,open_interest,active,tradable
kalshi,GOVPARTYMS-27-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.925,0.925,0.075,237.0,0.0,194.0,True,True
kalshi,GOVPARTYMT-28-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.125,0.125,0.875,82.0,0.0,0.0,True,True
kalshi,GOVPARTYMT-28-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.87,0.87,0.13,3295.0,0.0,1313.0,True,True
kalshi,GOVPARTYNC-28-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.705,0.705,0.295,1397.0,0.0,457.0,True,True
kalshi,GOVPARTYNC-28-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.275,0.275,0.725,279.0,0.0,135.0,True,True
kalshi,GOVPARTYND-28-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.085,0.085,0.915,9.0,0.0,1.0,True,True
kalshi,GOVPARTYND-28-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.89,0.89,0.11,5.0,0.0,3.0,True,True
kalshi,GOVPARTYNH-28-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.25,0.25,0.75,1890.0,0.0,1711.0,True,True
kalshi,GOVPARTYNH-28-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.73,0.73,0.27,4482.0,0.0,2492.0,True,True
kalshi,GOVPARTYOH-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.545,0.545,0.455,87704.0,0.0,50949.0,True,True
kalshi,GOVPARTYOH-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.445,0.445,0.555,68952.0,0.0,43580.0,True,True
kalshi,GOVPARTYOK-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.06,0.06,0.94,40468.0,0.0,21560.0,True,True
kalshi,GOVPARTYOK-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.915,0.915,0.085,11202.0,0.0,6139.0,True,True
kalshi,GOVPARTYOR-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.87,0.87,0.13,7467.0,0.0,3501.0,True,True
kalshi,GOVPARTYOR-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.13,0.13,0.87,9504.0,0.0,9181.0,True,True
kalshi,GOVPARTYPA-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.95,0.95,0.05,10208.0,0.0,5890.0,True,True
kalshi,GOVPARTYPA-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.05,0.05,0.95,14910.0,0.0,9189.0,True,True
kalshi,GOVPARTYRI-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.91,0.91,0.09,4491.0,0.0,1895.0,True,True
kalshi,GOVPARTYRI-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.07,0.07,0.93,522.0,0.0,262.0,True,True
kalshi,GOVPARTYSC-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.065,0.065,0.935,4225.0,0.0,2178.0,True,True
kalshi,GOVPARTYSC-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.925,0.925,0.075,1572.0,0.0,1210.0,True,True
kalshi,GOVPARTYSD-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.01,0.01,0.99,220.0,0.0,159.0,True,True
kalshi,GOVPARTYSD-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.97,0.97,0.03,1823.0,0.0,1818.0,True,True
kalshi,GOVPARTYTN-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.04,0.04,0.96,1084.0,0.0,1041.0,True,True
kalshi,GOVPARTYTN-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.955,0.955,0.045,2284.0,0.0,2226.0,True,True
kalshi,GOVPARTYTX-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.175,0.175,0.825,40194.0,0.0,32775.0,True,True
kalshi,GOVPARTYTX-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.815,0.815,0.185,16290.0,0.0,14080.0,True,True
kalshi,GOVPARTYUT-28-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.165,0.165,0.835,1059.0,0.0,475.0,True,True
kalshi,GOVPARTYUT-28-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.835,0.835,0.165,641.0,0.0,360.0,True,True
kalshi,GOVPARTYVT-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.235,0.235,0.765,984.0,0.0,396.0,True,True
